Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,39.744202,41.631699,39.744202,41.5359,13.432802,3528278
04-01-2000,41.583801,41.967098,39.475899,39.897499,12.90294,3544397
05-01-2000,37.1763,41.737099,37.1763,40.8652,13.215897,5849541
06-01-2000,41.2006,44.055901,41.2006,42.561199,13.764388,10274967
07-01-2000,42.925301,45.972198,42.7528,45.972198,14.86751,11477452
10-01-2000,49.632301,49.651501,47.524399,49.6036,16.041914,8978430
11-01-2000,49.824001,49.824001,45.636799,45.636799,14.759042,6303357
12-01-2000,45.991299,47.141102,43.8834,46.0392,14.889177,4897856
13-01-2000,46.5662,46.949501,44.381599,45.1194,14.591714,2952316
14-01-2000,45.023602,46.5662,44.649899,45.809299,14.814829,5347398
17-01-2000,46.556599,49.4599,46.556599,48.0322,15.53372,7738816
18-01-2000,48.0993,48.3867,46.959099,47.524399,15.369495,4134762
19-01-2000,48.0993,49.421501,46.489601,48.003502,15.524438,6371853
20-01-2000,47.9076,47.9076,44.7649,45.167301,14.607204,2911586
21-01-2000,44.0942,44.8032,43.2127,44.496601,14.390298,3633757
24-01-2000,44.075001,45.2057,40.941898,40.941898,13.2407,5871547
25-01-2000,38.3932,39.265099,37.674599,37.674599,12.184047,3684803
26-01-2000,null,null,null,null,null,null
27-01-2000,36.409801,36.984699,34.666,34.666,11.211061,9020094
28-01-2000,32.768799,34.876801,32.261002,33.5737,10.85781,13942904
31-01-2000,32.7976,36.160702,32.5868,34.436001,11.136679,14875954
01-02-2000,34.4743,35.432499,32.979599,33.5928,10.863985,6294485
02-02-2000,35.259998,35.8158,34.177299,34.512699,11.161485,4676811
03-02-2000,34.4935,34.828899,33.870701,33.985699,10.99105,2037576
04-02-2000,34.301899,34.483898,33.1138,34.292301,11.090207,4201025
07-02-2000,34.129398,34.972599,33.602402,34.071899,11.018928,2468150
08-02-2000,34.301899,35.432499,33.8228,34.608501,11.192468,3504832
09-02-2000,35.643299,36.793098,34.876801,35.193001,11.381494,4440836
10-02-2000,35.432499,35.432499,34.4935,34.7043,11.223448,1445349
11-02-2000,35.240898,35.4133,32.011902,32.529301,10.520047,4107804
14-02-2000,32.577202,32.577202,29.932699,30.2393,9.779457,3657229
15-02-2000,30.287201,32.385601,29.8944,31.7724,10.275265,5135881
16-02-2000,32.9221,32.9221,31.4562,31.5903,10.216372,1652628
17-02-2000,31.618999,32.960499,31.3508,31.8778,10.309349,1841955
18-02-2000,31.810699,32.0023,29.3291,29.5494,9.556341,2747218
21-02-2000,28.7446,31.9161,28.7446,31.9161,10.321739,3511793
22-02-2000,33.3246,34.4743,32.634701,34.4743,11.149064,3318249
23-02-2000,36.390701,37.1763,31.858601,32.203499,10.414684,6547749
24-02-2000,32.749699,33.516201,31.8011,32.625099,10.551028,2448915
25-02-2000,33.43,35.240898,31.9161,35.049198,11.334987,4658557
28-02-2000,35.259998,35.259998,33.3629,34.694698,11.220342,3399024
29-02-2000,34.503101,35.1451,31.925699,31.925699,10.324841,4357556
01-03-2000,32.0023,32.960499,29.511101,30.201,9.76707,7644786
02-03-2000,31.2358,31.379499,27.930201,28.131399,9.097756,6852857
03-03-2000,26.253401,27.1924,25.889299,25.889299,8.372658,6378720
06-03-2000,26.809099,27.9685,26.0809,26.5888,8.598878,8897556
07-03-2000,24.912001,26.7516,24.912001,25.3144,8.186733,5675894
08-03-2000,25.678499,25.697701,23.9538,24.432899,7.901652,3117112
09-03-2000,24.5287,26.387501,24.1838,26.387501,8.533776,3438151
10-03-2000,24.912001,26.8283,24.385,24.797001,8.019406,3519688
13-03-2000,25.2761,25.563499,22.909401,23.0627,7.458528,3513948
14-03-2000,23.5322,24.912001,22.9573,24.912001,8.056597,4396991
15-03-2000,25.8701,26.694099,24.912001,25.908501,8.378866,4038499
16-03-2000,26.0618,27.9876,25.678499,27.8631,9.010988,5782751
17-03-2000,null,null,null,null,null,null
20-03-2000,null,null,null,null,null,null
21-03-2000,27.4032,29.3195,25.917999,28.6584,9.268189,5317329
22-03-2000,29.3195,29.4153,27.3074,28.0835,9.082265,3838207
23-03-2000,28.169701,28.265499,25.966,26.1001,8.440829,2233876
24-03-2000,25.141899,26.2246,25.141899,25.917999,8.381938,1619042
27-03-2000,25.8701,26.4067,25.5156,25.937201,8.388145,1540735
28-03-2000,25.7264,26.253401,24.940701,25.582701,8.273502,2961249
29-03-2000,25.917999,26.809099,25.4869,25.851,8.360271,4678470
30-03-2000,25.5923,25.611401,23.790899,24.2892,7.85518,4667470
31-03-2000,23.8197,26.2342,23.2831,26.1192,8.447007,5272686
03-04-2000,26.445,27.9589,25.8701,27.345699,8.843659,8754651
04-04-2000,27.019899,27.019899,25.1611,25.1611,8.137156,3347962
05-04-2000,24.241301,26.0618,24.001699,25.5923,8.276607,2701614
06-04-2000,25.506001,26.0618,23.551399,24.662901,7.976036,3187158
07-04-2000,25.0653,26.6367,24.7204,26.598301,8.60195,5058623
10-04-2000,26.6367,27.7577,25.889299,26.7612,8.654632,6369646
11-04-2000,26.253401,27.019899,25.333599,26.4354,8.549266,2863635
12-04-2000,26.8283,26.8283,25.678499,25.917999,8.381938,2430692
13-04-2000,24.5287,25.8605,23.858,24.7204,7.994632,4579676
14-04-2000,null,null,null,null,null,null
17-04-2000,24.3563,26.0618,22.804001,25.256901,8.168139,7003339
18-04-2000,25.851,26.253401,23.244801,23.311899,7.53912,6960992
19-04-2000,23.944201,24.4904,22.2292,23.867599,7.718835,5853794
20-04-2000,23.5802,24.1455,22.6124,23.5131,7.604187,5326232
21-04-2000,null,null,null,null,null,null
24-04-2000,23.762199,24.912001,23.4748,24.087999,7.790112,4159664
25-04-2000,23.771799,24.6054,23.005301,24.4233,7.89855,5104143
26-04-2000,24.5287,25.966,23.762199,25.6689,8.301379,10018922
27-04-2000,25.678499,25.8701,24.442499,24.758699,8.007018,3536925
28-04-2000,24.8449,25.017401,24.0975,24.471201,7.91404,2827169
01-05-2000,null,null,null,null,null,null
02-05-2000,24.337099,24.6245,23.2831,24.2125,7.830375,3808097
03-05-2000,23.9538,24.6245,23.570601,24.4042,7.892373,1807378
04-05-2000,24.7204,25.8605,24.432899,25.0844,8.11235,2822957
05-05-2000,25.4869,27.633101,25.017401,27.058201,8.750682,6507661
08-05-2000,27.729,29.2237,26.684601,27.690599,8.955202,8401080
09-05-2000,27.4032,28.265499,26.464199,27.7577,8.976901,3798600
10-05-2000,27.9589,28.035601,26.933701,27.556499,8.911832,1647717
11-05-2000,27.4032,27.4032,26.176701,26.454599,8.555476,1785675
12-05-2000,26.6367,27.4032,24.3563,24.7395,8.000809,3645603
15-05-2000,24.337099,25.362301,23.9538,24.9695,8.075191,1597887
16-05-2000,25.1036,26.2342,24.7395,25.4869,8.24252,2281854
17-05-2000,25.8701,26.445,25.3911,25.6689,8.301379,2404658
18-05-2000,25.4869,26.5408,24.8832,25.0557,8.103069,3259980
19-05-2000,24.8353,25.5156,24.825701,25.0653,8.106173,1337876
22-05-2000,24.7395,25.467699,24.7395,24.9503,8.068983,919368
23-05-2000,25.1036,25.2857,24.337099,24.7012,7.988423,1233655
24-05-2000,24.7204,25.467699,24.3563,24.8641,8.041103,2188492
25-05-2000,24.912001,25.0557,23.120199,23.302299,7.536016,6283897
26-05-2000,23.561001,23.570601,22.133301,22.7561,7.359372,5599247
29-05-2000,22.765699,24.576599,22.765699,23.551399,7.616575,7691929
30-05-2000,23.014799,23.7334,22.3346,23.5322,7.610365,4760007
31-05-2000,24.6245,24.7204,23.5993,23.8197,7.703344,5226587
01-06-2000,23.762199,23.9538,23.1873,23.445999,7.582489,1636440
02-06-2000,23.589701,24.126301,22.1429,22.775299,7.365581,8010542
05-06-2000,23.3598,23.570601,22.784901,22.8328,7.384177,5962560
06-06-2000,22.995701,23.1873,22.804001,22.8519,7.390356,3959253
07-06-2000,23.0723,23.896299,22.995701,23.302299,7.536016,4133667
08-06-2000,23.378901,24.912001,23.340599,24.691601,7.985318,9955795
09-06-2000,24.5287,26.674999,24.452101,25.7743,8.335465,14566134
12-06-2000,26.0618,27.3074,25.5252,26.3013,8.505898,9419033
13-06-2000,26.0618,26.780399,25.707199,26.454599,9.454112,5471078
14-06-2000,26.5313,26.713301,25.5252,25.611401,9.152776,3451724
15-06-2000,25.582701,25.851,25.007799,25.1803,8.998713,2026185
16-06-2000,24.9216,25.582701,24.7204,25.352699,9.060326,4324059
